graph,ca,cb,obs_w,obs_over_exp
coengage,10,13,17.0,1.299
coengage,10,14,4.0,0.992
coengage,10,15,21.5,1.856
coengage,11,0,13.2,1.605
coengage,11,1,6.0,1.076
coengage,11,2,5.5,1.19
coengage,11,3,21.2,1.691
coengage,11,4,6.1,1.455
coengage,11,5,0.3,0.359
coengage,11,6,6.6,1.492
coengage,11,7,6.3,1.273
coengage,11,8,0.0,0.441
coengage,11,9,0.9,0.815
coengage,11,10,11.8,1.512
coengage,11,11,24.6,22.166
coengage,11,12,0.0,0.0
coengage,11,13,2.4,1.289
coengage,11,14,0.0,0.075
coengage,11,15,0.3,0.178
coengage,12,0,0.0,0.0
coengage,12,1,0.0,0.0
coengage,12,2,0.0,0.0
coengage,12,3,0.0,0.0
coengage,12,4,0.0,0.0
coengage,12,5,0.0,0.0
coengage,12,6,0.0,0.0
coengage,12,7,0.0,0.0
coengage,12,8,0.0,0.0
coengage,12,9,0.0,0.0
coengage,12,10,0.0,0.0
coengage,12,11,0.0,0.0
coengage,12,12,2.0,4991.878
coengage,12,13,0.0,0.0
coengage,12,14,0.0,0.0
coengage,12,15,0.0,0.0
coengage,13,0,19.4,1.406
coengage,13,1,10.1,1.088
coengage,13,2,8.4,1.081
coengage,13,3,37.6,1.793
coengage,13,4,7.6,1.072
coengage,13,5,0.9,0.743
coengage,13,6,11.3,1.511
coengage,13,7,9.0,1.089
coengage,13,8,0.0,0.263
coengage,13,9,3.2,1.69
coengage,13,10,17.0,1.299
coengage,13,11,2.4,1.289
coengage,13,12,0.0,0.0
coengage,13,13,46.5,14.885
coengage,13,14,1.0,1.068
coengage,13,15,2.1,0.749
coengage,14,0,3.7,0.874
coengage,14,1,2.9,1.01
coengage,14,2,3.3,1.376
coengage,14,3,8.2,1.262
coengage,14,4,3.3,1.486
coengage,14,5,0.8,1.921
coengage,14,6,1.0,0.446
coengage,14,7,2.0,0.779
coengage,14,8,0.0,0.0
coengage,14,9,0.9,1.465
coengage,14,10,4.0,0.992
coengage,14,11,0.0,0.075
coengage,14,12,0.0,0.0
coengage,14,13,1.0,1.068
coengage,14,14,23.1,76.459
coengage,14,15,0.5,0.638
coengage,15,0,16.7,1.364
coengage,15,1,8.5,1.033
coengage,15,2,7.7,1.119
coengage,15,3,26.6,1.432
coengage,15,4,7.5,1.198
coengage,15,5,0.3,0.247
coengage,15,6,9.0,1.362
coengage,15,7,9.8,1.337
coengage,15,8,0.1,0.488
coengage,15,9,1.2,0.713
coengage,15,10,21.5,1.856
coengage,15,11,0.3,0.178
coengage,15,12,0.0,0.0
coengage,15,13,2.1,0.749
coengage,15,14,0.5,0.638
coengage,15,15,44.6,18.225
reply,0,0,66.0,3.407
reply,0,1,9.0,0.721
reply,0,2,12.0,1.027
reply,0,3,46.0,1.583
reply,0,4,8.0,1.35
reply,0,5,5.0,2.716
reply,0,6,13.0,1.269
reply,0,7,22.0,1.796
reply,0,8,0.0,
reply,0,9,9.0,3.307
reply,0,10,37.0,2.091
reply,0,11,6.0,2.204
reply,0,12,0.0,0.0
reply,0,13,3.0,1.249
reply,0,14,0.0,0.0
reply,0,15,6.0,1.315
reply,1,0,9.0,0.721
reply,1,1,27.0,3.354
reply,1,2,25.0,3.318
reply,1,3,46.0,2.456
reply,1,4,3.0,0.786
reply,1,5,3.0,2.528
reply,1,6,7.0,1.06
reply,1,7,9.0,1.14
reply,1,8,0.0,
reply,1,9,1.0,0.57
reply,1,10,11.0,0.965
reply,1,11,2.0,1.14
reply,1,12,0.0,0.0
reply,1,13,3.0,1.938
reply,1,14,2.0,2.422
reply,1,15,8.0,2.72
reply,2,0,12.0,1.027
reply,2,1,25.0,3.318
reply,2,2,24.0,3.404
reply,2,3,20.0,1.141
reply,2,4,8.0,2.238
reply,2,5,0.0,0.0
reply,2,6,12.0,1.941
reply,2,7,18.0,2.436
reply,2,8,0.0,
reply,2,9,2.0,1.218
reply,2,10,21.0,1.967
reply,2,11,1.0,0.609
reply,2,12,0.0,0.0
reply,2,13,0.0,0.0
reply,2,14,1.0,1.294
reply,2,15,2.0,0.727
reply,3,0,46.0,1.583
reply,3,1,46.0,2.456
reply,3,2,20.0,1.141
reply,3,3,93.0,2.134
reply,3,4,10.0,1.125
reply,3,5,5.0,1.81
reply,3,6,20.0,1.301
reply,3,7,39.0,2.123
reply,3,8,0.0,
reply,3,9,5.0,1.225
reply,3,10,49.0,1.846
reply,3,11,6.0,1.47
reply,3,12,0.0,0.0
reply,3,13,10.0,2.776
reply,3,14,0.0,0.0
reply,3,15,14.0,2.045
reply,4,0,8.0,1.35
reply,4,1,3.0,0.786
reply,4,2,8.0,2.238
reply,4,3,10.0,1.125
reply,4,4,9.0,4.968
reply,4,5,1.0,1.776
reply,4,6,16.0,5.106
reply,4,7,7.0,1.869
reply,4,8,0.0,
reply,4,9,1.0,1.202
reply,4,10,8.0,1.479
reply,4,11,1.0,1.202
reply,4,12,0.0,0.0
reply,4,13,2.0,2.723
reply,4,14,0.0,0.0
reply,4,15,0.0,0.0
reply,5,0,5.0,2.716
reply,5,1,3.0,2.528
reply,5,2,0.0,0.0
reply,5,3,5.0,1.81
reply,5,4,1.0,1.776
reply,5,5,3.0,17.144
reply,5,6,3.0,3.081
reply,5,7,1.0,0.859
reply,5,8,0.0,
reply,5,9,0.0,0.0
reply,5,10,2.0,1.189
reply,5,11,0.0,0.0
reply,5,12,0.0,0.0
reply,5,13,0.0,0.0
reply,5,14,0.0,0.0
reply,5,15,0.0,0.0
reply,6,0,13.0,1.269
reply,6,1,7.0,1.06
reply,6,2,12.0,1.941
reply,6,3,20.0,1.301
reply,6,4,16.0,5.106
reply,6,5,3.0,3.081
reply,6,6,18.0,3.321
reply,6,7,11.0,1.698
reply,6,8,0.0,
reply,6,9,0.0,0.0
reply,6,10,17.0,1.817
reply,6,11,1.0,0.695
reply,6,12,0.0,0.0
reply,6,13,4.0,3.149
reply,6,14,0.0,0.0
reply,6,15,6.0,2.486
reply,7,0,22.0,1.796
reply,7,1,9.0,1.14
reply,7,2,18.0,2.436
reply,7,3,39.0,2.123
reply,7,4,7.0,1.869
reply,7,5,1.0,0.859
reply,7,6,11.0,1.698
reply,7,7,17.0,2.195
reply,7,8,0.0,
reply,7,9,1.0,0.581
reply,7,10,17.0,1.52
reply,7,11,4.0,2.324
reply,7,12,0.0,0.0
reply,7,13,3.0,1.976
reply,7,14,0.0,0.0
reply,7,15,4.0,1.387
reply,8,0,0.0,
reply,8,1,0.0,
reply,8,2,0.0,
reply,8,3,0.0,
reply,8,4,0.0,
reply,8,5,0.0,
reply,8,6,0.0,
reply,8,7,0.0,
reply,8,8,0.0,
reply,8,9,0.0,
reply,8,10,0.0,
reply,8,11,0.0,
reply,8,12,0.0,
reply,8,13,0.0,
reply,8,14,0.0,
reply,8,15,0.0,
reply,9,0,9.0,3.307
reply,9,1,1.0,0.57
reply,9,2,2.0,1.218
reply,9,3,5.0,1.225
reply,9,4,1.0,1.202
reply,9,5,0.0,0.0
reply,9,6,0.0,0.0
reply,9,7,1.0,0.581
reply,9,8,0.0,
reply,9,9,14.0,36.611
reply,9,10,1.0,0.402
reply,9,11,0.0,0.0
reply,9,12,0.0,0.0
reply,9,13,0.0,0.0
reply,9,14,0.0,0.0
reply,9,15,0.0,0.0
reply,10,0,37.0,2.091
reply,10,1,11.0,0.965
reply,10,2,21.0,1.967
reply,10,3,49.0,1.846
reply,10,4,8.0,1.479
reply,10,5,2.0,1.189
reply,10,6,17.0,1.817
reply,10,7,17.0,1.52
reply,10,8,0.0,
reply,10,9,1.0,0.402
reply,10,10,37.0,2.29
reply,10,11,4.0,1.609
reply,10,12,0.0,0.0
reply,10,13,1.0,0.456
reply,10,14,7.0,5.984
reply,10,15,9.0,2.16
reply,11,0,6.0,2.204
reply,11,1,2.0,1.14
reply,11,2,1.0,0.609
reply,11,3,6.0,1.47
reply,11,4,1.0,1.202
reply,11,5,0.0,0.0
reply,11,6,1.0,0.695
reply,11,7,4.0,2.324
reply,11,8,0.0,
reply,11,9,0.0,0.0
reply,11,10,4.0,1.609
reply,11,11,8.0,20.92
reply,11,12,0.0,0.0
reply,11,13,1.0,2.964
reply,11,14,0.0,0.0
reply,11,15,0.0,0.0
reply,12,0,0.0,0.0
reply,12,1,0.0,0.0
reply,12,2,0.0,0.0
reply,12,3,0.0,0.0
reply,12,4,0.0,0.0
reply,12,5,0.0,0.0
reply,12,6,0.0,0.0
reply,12,7,0.0,0.0
reply,12,8,0.0,
reply,12,9,0.0,0.0
reply,12,10,0.0,0.0
reply,12,11,0.0,0.0
reply,12,12,2.0,1511.5
reply,12,13,0.0,0.0
reply,12,14,0.0,0.0
reply,12,15,0.0,0.0
reply,13,0,3.0,1.249
reply,13,1,3.0,1.938
reply,13,2,0.0,0.0
reply,13,3,10.0,2.776
reply,13,4,2.0,2.723
reply,13,5,0.0,0.0
reply,13,6,4.0,3.149
reply,13,7,3.0,1.976
reply,13,8,0.0,
